date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:37:07	55827/55827	---M--	200	added ('OK')	image/png	etag:%221360281-da13-5b6123184b300%22	https://www.caprin.pe/img/productos/a5-min.png	D:/caprin/capri/www.caprin.pe/img/productos/a5-min.png	(from https://www.caprin.pe/)
19:37:07	52031/52031	---M--	200	added ('OK')	image/png	etag:%2213601f5-cb3f-5b6123184b300%22	https://www.caprin.pe/img/productos/a4-min.png	D:/caprin/capri/www.caprin.pe/img/productos/a4-min.png	(from https://www.caprin.pe/)
19:37:07	53803/53803	---M--	200	added ('OK')	image/png	etag:%221360237-d22b-5b6123184b300%22	https://www.caprin.pe/img/productos/a7-min.png	D:/caprin/capri/www.caprin.pe/img/productos/a7-min.png	(from https://www.caprin.pe/)
19:37:07	55182/55182	---M--	200	added ('OK')	image/png	etag:%2213601f1-d78e-5b6123184b300%22	https://www.caprin.pe/img/productos/a6-min.png	D:/caprin/capri/www.caprin.pe/img/productos/a6-min.png	(from https://www.caprin.pe/)
19:37:08	64312/64312	---M--	200	added ('OK')	image/png	etag:%2213601f3-fb38-5b61231a33780%22	https://www.caprin.pe/img/productos/g1-min.png	D:/caprin/capri/www.caprin.pe/img/productos/g1-min.png	(from https://www.caprin.pe/)
19:37:08	93360/93360	---M--	200	added ('OK')	image/png	etag:%221360287-16cb0-5b61231a33780%22	https://www.caprin.pe/img/productos/a8-min.png	D:/caprin/capri/www.caprin.pe/img/productos/a8-min.png	(from https://www.caprin.pe/)
19:37:08	58075/58075	---M--	200	added ('OK')	image/png	etag:%22136023c-e2db-5b61231a33780%22	https://www.caprin.pe/img/productos/g3-min.png	D:/caprin/capri/www.caprin.pe/img/productos/g3-min.png	(from https://www.caprin.pe/)
19:37:08	76110/76110	---M--	200	added ('OK')	image/png	etag:%221360274-1294e-5b61231a33780%22	https://www.caprin.pe/img/productos/g2-min.png	D:/caprin/capri/www.caprin.pe/img/productos/g2-min.png	(from https://www.caprin.pe/)
19:37:08	80744/80744	---M--	200	added ('OK')	image/png	etag:%221360283-13b68-5b61231a33780%22	https://www.caprin.pe/img/productos/g4-min.png	D:/caprin/capri/www.caprin.pe/img/productos/g4-min.png	(from https://www.caprin.pe/)
19:37:09	44067/44067	---M--	200	added ('OK')	image/png	etag:%22136027d-ac23-5b61231a33780%22	https://www.caprin.pe/img/productos/g5-min.png	D:/caprin/capri/www.caprin.pe/img/productos/g5-min.png	(from https://www.caprin.pe/)
19:37:09	49323/49323	---M--	200	added ('OK')	image/png	etag:%22136027c-c0ab-5b61231a33780%22	https://www.caprin.pe/img/productos/g6-min.png	D:/caprin/capri/www.caprin.pe/img/productos/g6-min.png	(from https://www.caprin.pe/)
19:37:09	55101/55101	---M--	200	added ('OK')	image/png	etag:%2213601ec-d73d-5b61231a33780%22	https://www.caprin.pe/img/productos/g7-min.png	D:/caprin/capri/www.caprin.pe/img/productos/g7-min.png	(from https://www.caprin.pe/)
19:37:09	51159/51159	---M--	200	added ('OK')	image/png	etag:%22136027f-c7d7-5b61231a33780%22	https://www.caprin.pe/img/productos/g8-min.png	D:/caprin/capri/www.caprin.pe/img/productos/g8-min.png	(from https://www.caprin.pe/)
19:37:10	67182/67182	---M--	200	added ('OK')	image/png	etag:%221360275-1066e-5b61231a33780%22	https://www.caprin.pe/img/productos/g9-min.png	D:/caprin/capri/www.caprin.pe/img/productos/g9-min.png	(from https://www.caprin.pe/)
19:37:10	65965/65965	---M--	200	added ('OK')	image/png	etag:%2213601ee-101ad-5b61231a33780%22	https://www.caprin.pe/img/productos/g10-min.png	D:/caprin/capri/www.caprin.pe/img/productos/g10-min.png	(from https://www.caprin.pe/)
19:37:10	63083/63083	---M--	200	added ('OK')	image/png	etag:%2213601ef-f66b-5b61231a33780%22	https://www.caprin.pe/img/productos/g11-min.png	D:/caprin/capri/www.caprin.pe/img/productos/g11-min.png	(from https://www.caprin.pe/)
